hook_id,disposition,file_path,symbol_or_class,monitor_type,metric_names,measured_boundary,dimensions,sampling_cardinality_policy,overhead_guard,privacy_rule,optimizing_python_strategy_coverage
hook-0011,aggregate boundary only,mist-ops-platform/src/api/routes/health.py,healthz,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0012,aggregate boundary only,mist-ops-platform/src/api/routes/sync.py,get_sync_status,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0013,aggregate boundary only,mist-ops-platform/src/api/routes/webhooks.py,receive_mist_webhook,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0014,aggregate boundary only,mist-ops-platform/src/api/schemas/audit.py,AuditRecordResponse,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0015,aggregate boundary only,mist-ops-platform/src/api/schemas/common.py,ErrorDetail,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0016,aggregate boundary only,mist-ops-platform/src/api/schemas/config.py,RevisionResponse,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0017,aggregate boundary only,mist-ops-platform/src/api/schemas/deploy.py,TargetEntity,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0018,aggregate boundary only,mist-ops-platform/src/api/schemas/sync.py,SiteResponse,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0019,aggregate boundary only,mist-ops-platform/src/shared/config/constants.py,JobStatus,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 6 bounded caching; 8 object layout/GC
hook-0020,aggregate boundary only,mist-ops-platform/src/shared/config/settings.py,AppSettings,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 6 bounded caching; 8 object layout/GC
hook-0021,production hook,mist-ops-platform/src/shared/db.py,build_engine,database_events,"db.query_wall_ns,db.queries_total,db.rows_total,db.transactions_total,db.pool_wait_ns,db.errors_total","Register SQLAlchemy engine events around cursor execution, transactions, and pool checkout.","file,symbol,statement_kind,status,pool_name,workload_size,state",Count each query. Sample durations by normalized statement kind. Keep all slow and failed queries. Never retain SQL values.,Store start stamps in the execution context. Do not parse full SQL in the request path.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 6 bounded caching
hook-0022,production hook,mist-ops-platform/src/shared/db.py,get_session,database,"db.wall_ns,db.process_cpu_ns,db.operations_total,db.rows_total,db.statement_bytes,db.errors_total,db.retries_total",Measure the logical database operation. Use backend or SQLAlchemy events for each physical query and transaction.,"file,symbol,backend,operation,statement_kind,status,row_bucket,workload_size,state","Count every query. Sample duration at most 1 in 20 successful queries. Keep all slow, retried, and failed queries. Never label statement text.",Use event hooks and cursor row counts. Do not format SQL or copy result rows for telemetry.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 3 data structures; 6 bounded caching
hook-0023,aggregate boundary only,mist-ops-platform/src/shared/mist/endpoints.py,ApiResult,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0024,aggregate boundary only,mist-ops-platform/src/shared/mist/rate_limit.py,OrgRateLimiter,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0025,production hook,mist-ops-platform/src/shared/mist/session.py,MistSessionFactory.create_session,http_transport,"http.wall_ns,http.process_cpu_ns,http.requests_total,http.retries_total,http.pages_total,http.request_bytes,http.response_bytes,http.items_total,http.status_total","Measure the transport call, each retry, each page, and response decoding as separate nonoverlapping stages.","file,symbol,endpoint_template,method,status_class,retry_reason,page_bucket,workload_size,state",Count every request. Sample timing for at most 1 in 20 successes. Keep all retries and failures. Never label raw URLs or identifiers.,Use monotonic nanosecond clocks. Reuse transport metadata. Do not serialize payloads to measure their size.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",2 I/O/sequential batching; 5 serialization/validation; 6 bounded caching
hook-0026,production hook,mist-ops-platform/src/shared/mist/session.py,MistSessionFactory._read_cache,cache,"cache.lookup_wall_ns,cache.hits_total,cache.misses_total,cache.evictions_total,cache.entries,cache.bytes_estimate,cache.populate_wall_ns","Measure lookup, population, invalidation, and eviction separately. Record the configured bound and lifetime.","file,symbol,cache_name,outcome,size_bucket,workload_size,state",Count each outcome with bounded labels. Sample lookup timing at most 1 in 1000 calls. Never record keys.,Use existing cache state. Do not walk values to calculate size. Require a fixed entry or byte bound.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 6 bounded caching; 8 object layout/GC
hook-0027,production hook,mist-ops-platform/src/shared/mist/session.py,MistSessionFactory._read_vault,http_transport,"http.wall_ns,http.process_cpu_ns,http.requests_total,http.retries_total,http.pages_total,http.request_bytes,http.response_bytes,http.items_total,http.status_total","Measure the transport call, each retry, each page, and response decoding as separate nonoverlapping stages.","file,symbol,endpoint_template,method,status_class,retry_reason,page_bucket,workload_size,state",Count every request. Sample timing for at most 1 in 20 successes. Keep all retries and failures. Never label raw URLs or identifiers.,Use monotonic nanosecond clocks. Reuse transport metadata. Do not serialize payloads to measure their size.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",2 I/O/sequential batching; 5 serialization/validation; 6 bounded caching
hook-0028,aggregate boundary only,mist-ops-platform/src/shared/mist/types.py,MistEndpoint,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 2 I/O/sequential batching; 5 serialization/validation; 7 measured Python loops
hook-0029,aggregate boundary only,mist-ops-platform/src/shared/models/base.py,Base,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0030,aggregate boundary only,mist-ops-platform/src/shared/models/config.py,ConfigRevision,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0031,aggregate boundary only,mist-ops-platform/src/shared/models/governance.py,ChangeTemplate,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0032,aggregate boundary only,mist-ops-platform/src/shared/models/inventory.py,MSP,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0033,aggregate boundary only,mist-ops-platform/src/shared/models/operations.py,ScheduledJob,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 5 serialization/validation; 7 measured Python loops
hook-0034,aggregate boundary only,mist-ops-platform/src/shared/redis_timeouts.py,redis_timeout_kwargs,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 7 measured Python loops; 8 object layout/GC
hook-0035,aggregate boundary only,mist-ops-platform/src/shared/services/auth.py,MistApiUnavailableError,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 7 measured Python loops; 8 object layout/GC
hook-0036,aggregate boundary only,mist-ops-platform/src/shared/services/compliance.py,ComplianceService,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 7 measured Python loops; 8 object layout/GC
hook-0037,aggregate boundary only,mist-ops-platform/src/shared/services/diff.py,DiffChange,cProfile correlation,"profile.call_count,profile.primitive_call_count,profile.total_time_ns,profile.cumulative_time_ns",Run an opt-in cProfile session around the parent workload. Correlate this exact symbol with the AST inventory.,"file,symbol,class,workload_name,workload_size,state,python_version",Do not emit a production event. Profile one bounded benchmark run for each workload cell.,Do not add a local timer. Use a separate unprofiled run for acceptance timing.,"Do not record tokens, credentials, request or response bodies, SQL text, file paths, MAC addresses, IP addresses, organization identifiers, site identifiers, device identifiers, or user text. Use allowlisted labels, coarse buckets, and one-way run-local correlation identifiers.",1 algorithms/repeated work; 3 data structures; 4 allocations/copying; 7 measured Python loops; 8 object layout/GC
